id,hosting,test_period,panel,Минусы (не надо),Плюсы (не надо),UpTime,fast,ping,requests,support,transferSite
5,beget.com,30,Собственная,,,99.86,3.66,11,141,4,да
13,fozzy.com,7,"cPanel, ISPmanager, Plesk",,,100,2.89,1,-,22,да
1,zomro.ru,10,ISPmanager 5 Business,"Хостинг часто используют для размещения вредоносных программ и сайтов, поэтому репутация у него соответствующая. /n Сервера находится в Нидерландах и Яндекс не очень высого котирует такие сайты. ",Стабильная работа серверов,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных
2,AdminVPS.ru,7,ISPmanager 5 Business,,,"99,73","3,66",60,639,20,да
3,hostiman.ru,30,ISPmanager 5 Business / cPanel,,,99.58,2.67,1,174,22,да
4,fornex.com,7,"cPanel, ISP Manager, собственная",,,99.45,4.01,52,1096,7,да
6,reg.ru,14,"ISPManager, cPanel, Parallels",,,100,3.17,1,359,3,да
7,nic.ru,14,"Собственная, ISP Manager",,,100,2.97,2,2451,8,да
8,timeweb.org,10,"Собственная, ISP Manager",,,71.8,3.19,7,2240,16,да
9,sprinthost.ru,30,Собственная,,,99.86,3.79,11,128,7,да
10,netangels.ru,14,Собственная,,,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных
11,ihc.ru,7,"Собственная, ISPmanager, cPanel",,,100,2.34,1,3036,3,да
12,mchost.ru,нет,Собственная,,,99.86,2.33,43,412,9,да
,,,,,,, (на обработку изображения 2000x2000 px),ms,(сколько запросов сервер обработал за секунду),Скорость ответа тех. поддержки (мин),Перенос сайта
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,http://hosting101.ru/adminvps.ru?page=1#comments,,,,,,,,,,
,https://ru.hostings.info/,,,,,,,,,,